               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  50,            0.050924,             0.02228,           0.0083462,             0.52298,              0.4673,             0.45344,             0.17209,            0.059664,            0.023329,            0.013303,           0.0059575,           0.0059575,           0.0059575
                  51,            0.051181,            0.022156,           0.0082531,             0.60419,             0.43318,             0.46932,             0.18414,            0.059603,            0.022485,            0.011224,            0.005875,            0.005875,            0.005875
                  52,            0.050906,            0.022335,           0.0080197,             0.58906,             0.46261,             0.47593,             0.18062,            0.061646,            0.022971,            0.012387,           0.0057925,           0.0057925,           0.0057925
                  53,            0.050479,            0.021915,           0.0078029,              0.6202,             0.44627,             0.48402,             0.19229,            0.060258,            0.022211,            0.012725,             0.00571,             0.00571,             0.00571
                  54,            0.050562,            0.021763,           0.0071706,             0.52904,             0.46051,             0.44203,             0.17382,            0.060818,            0.022911,            0.011577,           0.0056275,           0.0056275,           0.0056275
                  55,             0.05011,            0.021476,           0.0078652,             0.55707,             0.44494,             0.45647,             0.17041,             0.06083,            0.022498,            0.012519,            0.005545,            0.005545,            0.005545
                  56,            0.050569,            0.021542,             0.00743,             0.56455,             0.51169,             0.49244,             0.19374,            0.059945,            0.022858,            0.011098,           0.0054625,           0.0054625,           0.0054625
                  57,            0.049892,            0.021627,             0.00744,             0.48079,             0.50986,             0.47741,             0.17545,            0.060053,            0.022345,            0.013418,             0.00538,             0.00538,             0.00538
                  58,            0.049792,            0.021561,           0.0074963,             0.57365,              0.5169,             0.50148,             0.19861,            0.060504,            0.022794,            0.011369,           0.0052975,           0.0052975,           0.0052975
                  59,            0.049132,            0.021586,            0.007521,             0.51969,             0.49007,               0.477,             0.18132,            0.061532,            0.022413,            0.013152,            0.005215,            0.005215,            0.005215
                  60,            0.048928,            0.021356,           0.0074215,             0.57727,             0.47654,             0.49149,             0.19974,            0.059568,            0.022382,            0.011971,           0.0051325,           0.0051325,           0.0051325
                  61,            0.049077,            0.021426,            0.007358,             0.48877,             0.51521,             0.48549,             0.19702,            0.059207,            0.023087,            0.012509,             0.00505,             0.00505,             0.00505
                  62,             0.04917,            0.021337,             0.00717,             0.47834,             0.51726,             0.47344,             0.19038,            0.061539,            0.022648,            0.015827,           0.0049675,           0.0049675,           0.0049675
                  63,            0.048849,            0.021506,           0.0071658,             0.55253,             0.46484,             0.48063,             0.19121,            0.060113,             0.02324,             0.01281,            0.004885,            0.004885,            0.004885
                  64,            0.048446,            0.021032,           0.0070133,             0.60741,              0.5025,             0.50642,             0.20002,            0.059301,            0.022529,            0.011991,           0.0048025,           0.0048025,           0.0048025
                  65,            0.048361,            0.020384,            0.007072,             0.57271,             0.48649,             0.49117,               0.197,            0.060489,            0.022517,            0.012852,             0.00472,             0.00472,             0.00472
                  66,            0.048036,            0.021082,           0.0072593,             0.59592,             0.46467,              0.4895,             0.20064,            0.059793,            0.023466,            0.013174,           0.0046375,           0.0046375,           0.0046375
                  67,            0.047854,            0.020907,           0.0068277,             0.65315,             0.42089,             0.46489,             0.19313,             0.06121,            0.022388,            0.011621,            0.004555,            0.004555,            0.004555
                  68,            0.047949,            0.020698,           0.0069369,             0.53239,             0.49492,             0.48018,             0.18685,            0.061928,            0.022823,            0.013005,           0.0044725,           0.0044725,           0.0044725
                  69,            0.048077,            0.021069,           0.0072961,             0.50845,             0.49524,             0.47188,             0.18169,            0.061273,            0.023385,            0.013261,             0.00439,             0.00439,             0.00439
                  70,            0.047346,            0.020657,           0.0064933,             0.56087,             0.50338,             0.49498,              0.2027,            0.059976,            0.022502,            0.012194,           0.0043075,           0.0043075,           0.0043075
                  71,            0.047373,            0.020648,            0.006605,             0.58781,             0.47616,             0.48392,              0.2027,            0.059963,            0.022708,            0.011998,            0.004225,            0.004225,            0.004225
                  72,            0.047342,            0.020121,           0.0067673,             0.58099,             0.47256,             0.48448,             0.20045,            0.061389,            0.023119,            0.014453,           0.0041425,           0.0041425,           0.0041425
                  73,            0.047099,             0.02085,           0.0068404,             0.60814,             0.50551,             0.50304,             0.20626,            0.060094,            0.022549,            0.013482,             0.00406,             0.00406,             0.00406
                  74,            0.046589,            0.020246,           0.0061946,             0.53502,             0.52382,             0.48584,             0.19561,            0.060739,            0.023432,             0.01339,           0.0039775,           0.0039775,           0.0039775
                  75,            0.046304,            0.020441,           0.0062722,              0.6387,              0.4804,             0.51071,             0.21174,            0.059273,            0.022699,            0.011577,            0.003895,            0.003895,            0.003895
                  76,            0.046573,            0.020437,            0.006467,             0.59273,             0.48841,             0.50764,             0.20756,            0.059489,            0.022286,            0.012877,           0.0038125,           0.0038125,           0.0038125
                  77,            0.045891,            0.019775,            0.006393,             0.56446,             0.48371,             0.50811,             0.20032,            0.060465,            0.022475,             0.01265,             0.00373,             0.00373,             0.00373
                  78,            0.046303,            0.020463,           0.0060444,             0.58292,             0.47892,             0.50181,             0.20399,            0.059572,            0.022635,            0.012858,           0.0036475,           0.0036475,           0.0036475
                  79,            0.045528,            0.019904,           0.0060778,             0.62726,             0.49996,             0.50395,             0.19896,            0.060218,            0.023019,            0.013823,            0.003565,            0.003565,            0.003565
                  80,            0.044844,            0.020099,           0.0060395,             0.54145,             0.47198,             0.46433,             0.19662,            0.060714,            0.023129,            0.012936,           0.0034825,           0.0034825,           0.0034825
                  81,            0.045615,            0.019716,           0.0062322,             0.59178,             0.48285,             0.47742,             0.19524,            0.059951,            0.023326,            0.013042,              0.0034,              0.0034,              0.0034
                  82,            0.044939,            0.019906,           0.0060886,             0.62164,             0.49335,             0.52814,             0.21975,            0.059808,            0.023007,            0.013335,           0.0033175,           0.0033175,           0.0033175
                  83,             0.04488,            0.019384,           0.0062093,             0.58456,              0.4873,             0.48968,             0.19645,            0.060315,            0.023392,            0.012248,            0.003235,            0.003235,            0.003235
                  84,            0.044693,            0.019533,           0.0061327,             0.54099,             0.51255,             0.47726,             0.19508,            0.060592,             0.02337,            0.012519,           0.0031525,           0.0031525,           0.0031525
                  85,            0.045336,             0.01951,            0.005739,             0.57779,             0.53414,             0.51651,             0.21284,            0.060354,            0.023265,            0.013154,             0.00307,             0.00307,             0.00307
                  86,            0.044853,            0.019475,           0.0056096,             0.56992,             0.48636,             0.49007,             0.19816,            0.060113,            0.022946,             0.01296,           0.0029875,           0.0029875,           0.0029875
                  87,            0.044644,            0.019984,           0.0057888,             0.62271,             0.48587,             0.50007,             0.20395,            0.060198,            0.023063,            0.014565,            0.002905,            0.002905,            0.002905
